item_number,mcat,tier,model,gvwr,floor_type,bed_length,width,tongue,stack_height,total_footprint,updated_at
14GN-20STA,FLATBED GOOSENECK,3,14GN,15900,Wood,20.0,8.0,9.0,2.5,29.0,2026-04-17T15:46:34Z
14GN-22+5,FLATBED GOOSENECK,4,14GN,15900,Wood,27.0,8.0,9.0,2.5,36.0,2026-04-17T15:46:34Z
14GN-22STA,FLATBED GOOSENECK,3,14GN,15900,Wood,22.0,8.0,9.0,2.5,31.0,2026-04-17T15:46:34Z
14GN-25,FLATBED GOOSENECK,4,14GN,15900,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
14GN-25+5,FLATBED GOOSENECK,4,14GN,15900,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
14GN-25BK+5,FLATBED GOOSENECK,4,14GN,15900,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
14GN-25BK+5MR,FLATBED GOOSENECK,4,14GN,15900,Wood,30.0,8.0,9.0,2.5,39.0,2026-04-17T15:46:34Z
14GN-25D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
14GN-25D5A-FRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
14GN-25D5A-MRBK,FLATBED GOOSENECK,1,14GN,15900,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
14GN-25STA,FLATBED GOOSENECK,3,14GN,15900,Wood,25.0,8.0,9.0,2.5,34.0,2026-04-17T15:46:34Z
14GN-27D5A,FLATBED GOOSENECK,3,14GN,15900,Wood,27.0,8.0,9.0,2.5,36.0,2026-04-17T15:46:34Z
14GN-27D5A-FRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,27.0,8.0,9.0,2.5,36.0,2026-04-17T15:46:34Z
14GN-27D5A-MRBK,FLATBED GOOSENECK,3,14GN,15900,Wood,27.0,8.0,9.0,2.5,36.0,2026-04-17T15:46:34Z
14GN-28+5,FLATBED GOOSENECK,4,14GN,15900,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
14GN-28BK+5,FLATBED GOOSENECK,4,14GN,15900,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
14GN-28BK+5MR,FLATBED GOOSENECK,4,14GN,15900,Wood,33.0,8.0,9.0,2.5,42.0,2026-04-17T15:46:34Z
14GN-28STA,FLATBED GOOSENECK,3,14GN,15900,Wood,28.0,8.0,9.0,2.5,37.0,2026-04-17T15:46:34Z
