item_number,mcat,tier,model,gvwr,floor_type,bed_length,width,tongue,stack_height,total_footprint,updated_at,matched_weight_lbs,weight_match_found
14LP-16,DUMP,3,14LP,14000,Steel,16,7.0,4,4,20,2026-05-12T14:11:41Z,4250,Y
14LP-16BK6-12KHJ,DUMP,3,14LP,14000,Steel,16,7.0,4,4,20,2026-05-12T14:11:41Z,4805,Y
14LP-16BK6-12KHJ-P4,DUMP,4,14LP,14000,Steel,16,7.0,4,5,20,2026-05-12T14:11:41Z,5420,Y
14LP-16BK6-P4,DUMP,1,14LP,14000,Steel,16,7.0,4,5,20,2026-05-12T14:11:41Z,5420,Y
14LP-16BK6SIRPD,DUMP,1,14LP,14000,Steel,16,7.0,4,4,20,2026-05-12T14:11:41Z,4805,Y
14LP-16BL6SIRPD,DUMP,3,14LP,14000,Steel,16,7.0,4,4,20,2026-05-12T14:11:41Z,4805,Y
14LP-16DT6SIRPD,DUMP,3,14LP,14000,Steel,16,7.0,4,4,20,2026-05-12T14:11:41Z,4805,Y
14LP-16GY6SIRPD,DUMP,3,14LP,14000,Steel,16,7.0,4,4,20,2026-05-12T14:11:41Z,4805,Y
14LP-16SG6SIRPD,DUMP,3,14LP,14000,Steel,16,7.0,4,4,20,2026-05-12T14:11:41Z,4805,Y
14LP-16WH6SIRPD,DUMP,3,14LP,14000,Steel,16,7.0,4,4,20,2026-05-12T14:11:41Z,4805,Y
14LX-14C2A,DUMP,,14LX,,,14,,4,4,18,2026-05-12T14:11:41Z,3660,Y
14LX-14C2A-BK,DUMP,1,14LX,14000,Steel,14,7.0,4,4,18,2026-05-12T14:11:41Z,3660,Y
14LX-14C4A-BK,DUMP,1,14LX,14000,Steel,14,7.0,4,5,18,2026-05-12T14:11:41Z,4190,Y
14RB-14,DUMP,3,14RB,14000,Steel,14,7.0,5,2.5,19,2026-05-12T14:11:41Z,3310,Y
14RB-14BK,DUMP,2,14RB,14000,Steel,14,7.0,5,2.5,19,2026-05-12T14:11:41Z,3310,Y
14RD-14,DUMP,3,14RD,14000,Steel,14,7.0,9,3,23,2026-05-12T14:11:41Z,3760,Y
14RD-14BK,DUMP,2,14RD,14000,Steel,14,7.0,9,3,23,2026-05-12T14:11:41Z,3760,Y
14TD-14C2A,DUMP,,14TD,,,14,,5,4,19,2026-05-12T14:11:41Z,4030,Y
14TD-14C2A-BK,DUMP,,14TD,,,14,,5,4,19,2026-05-12T14:11:41Z,4030,Y
14TD-14C4A,DUMP,,14TD,,,14,,5,5,19,2026-05-12T14:11:41Z,4570,Y
14TD-14C4A-BK,DUMP,,14TD,,,14,,5,5,19,2026-05-12T14:11:41Z,4570,Y
14TD-16C2A,DUMP,,14TD,,,16,,5,4,21,2026-05-12T14:11:41Z,4300,Y
14TD-16C2A-BK,DUMP,,14TD,,,16,,5,4,21,2026-05-12T14:11:41Z,4300,Y
14XD-14C2A,DUMP,3,14XD,15400,Steel,14,7.0,4,4,18,2026-05-12T14:11:41Z,4180,Y
14XD-14C2A-BK,DUMP,1,14XD,15400,Steel,14,7.0,4,4,18,2026-05-12T14:11:41Z,4345,Y
14XD-14C4A,DUMP,3,14XD,15400,Steel,14,7.0,4,4,18,2026-05-12T14:11:41Z,4345,Y
14XD-14C4A-BK,DUMP,2,14XD,15400,Steel,14,7.0,4,4,18,2026-05-12T14:11:41Z,4345,Y
14XD-16C2A,DUMP,3,14XD,15400,Steel,16,7.0,4,4,20,2026-05-12T14:11:41Z,4630,Y
14XD-16C2A-BK,DUMP,3,14XD,15400,Steel,16,7.0,4,4,20,2026-05-12T14:11:41Z,4805,Y
14XD-16C4A,DUMP,3,14XD,15400,Steel,16,7.0,4,5,20,2026-05-12T14:11:41Z,4805,Y
14XD-16C4A-BK,DUMP,3,14XD,15400,Steel,16,7.0,4,5,20,2026-05-12T14:11:41Z,4805,Y
16GX-14,DUMP,3,16GX,17500,Steel,14,7.0,9,5,23,2026-05-12T14:11:41Z,4980,Y
16GX-14BK6-P4,DUMP,3,16GX,17500,Steel,14,7.0,9,5,23,2026-05-12T14:11:41Z,4650,Y
16GX-14BK6SIRPD,DUMP,3,16GX,17500,Steel,14,7.0,9,5,23,2026-05-12T14:11:41Z,4650,Y
16GX-16,DUMP,3,16GX,17500,Steel,16,7.0,9,5,25,2026-05-12T14:11:41Z,5280,Y
16GX-16BK6-P3,DUMP,4,16GX,17500,Steel,16,7.0,9,5,25,2026-05-12T14:11:41Z,5940,Y
16GX-16BK6-P4,DUMP,3,16GX,17500,Steel,16,7.0,9,5,25,2026-05-12T14:11:41Z,5940,Y
16GX-16BK6SIRPD,DUMP,3,16GX,17500,Steel,16,7.0,9,5,25,2026-05-12T14:11:41Z,5940,Y
16LP-14,DUMP,3,16LP,17500,Steel,14,7.0,4,4,18,2026-05-12T14:11:41Z,4500,Y
16LP-14BK6-12KHJ,DUMP,4,16LP,17500,Steel,14,7.0,4,4,18,2026-05-12T14:11:41Z,4500,Y
16LP-14BK6-12KHJ-P4,DUMP,4,16LP,17500,Steel,14,7.0,4,5,18,2026-05-12T14:11:41Z,4500,Y
16LP-14BK6-P4,DUMP,3,16LP,17500,Steel,14,7.0,4,5,18,2026-05-12T14:11:41Z,4900,Y
16LP-14BK6SIRPD,DUMP,2,16LP,17500,Steel,14,7.0,4,4,18,2026-05-12T14:11:41Z,4500,Y
16LP-16,DUMP,3,16LP,17500,Steel,16,7.0,4,4,20,2026-05-12T14:11:41Z,4950,Y
16LP-16BK6-12KHJ,DUMP,4,16LP,17500,Steel,16,7.0,4,4,20,2026-05-12T14:11:41Z,4950,Y
16LP-16BK6-12KHJ-P4,DUMP,4,16LP,17500,Steel,16,7.0,4,5,20,2026-05-12T14:11:41Z,4950,Y
16LP-16BK6-P4,DUMP,2,16LP,17500,Steel,16,7.0,4,5,20,2026-05-12T14:11:41Z,5400,Y
16LP-16BK6SIRPD,DUMP,1,16LP,17500,Steel,16,7.0,4,4,20,2026-05-12T14:11:41Z,4950,Y
16RB-14BK,DUMP,3,16RB,17500,Steel,14,7.0,5,2.5,19,2026-05-12T14:11:41Z,3310,Y
16RD-14,DUMP,3,16RD,17500,Steel,14,7.0,9,3,23,2026-05-12T14:11:41Z,3760,Y
16RD-14BK,DUMP,3,16RD,17500,Steel,14,7.0,9,3,23,2026-05-12T14:11:41Z,3760,Y
16TD-16BK6SIR,DUMP,3,16TD,17500,Steel,16,7.0,5,4,21,2026-05-12T14:11:41Z,4430,Y
20GX-16,DUMP,3,20GX,22000,Steel,16,7.0,9,5,25,2026-05-12T14:11:41Z,6550,Y
20GX-16BK6-P4,DUMP,3,20GX,22000,Steel,16,7.0,9,5,25,2026-05-12T14:11:41Z,6800,Y
20GX-16BK6SIRPD,DUMP,2,20GX,22000,Steel,16,7.0,9,5,25,2026-05-12T14:11:41Z,6550,Y
20LP-16,DUMP,3,20LP,20000,Steel,16,7.0,5,5,21,2026-05-12T14:11:41Z,6130,Y
20LP-16BK6-P4,DUMP,3,20LP,20000,Steel,16,7.0,5,5,21,2026-05-12T14:11:41Z,6380,Y
20LP-16BK6SIRPD,DUMP,2,20LP,20000,Steel,16,7.0,5,5,21,2026-05-12T14:11:41Z,6130,Y
25DU-20,DUMP,3,25DU,25000,Steel,20,7.0,9,7,29,2026-05-12T14:11:41Z,8500,Y
25DU-20BK8SIR,DUMP,1,25DU,25000,Steel,20,7.0,9,7,29,2026-05-12T14:11:41Z,8700,Y
25DU-20P,DUMP,4,25DU,25000,Steel,20,8.0,9,7,29,2026-05-12T14:11:41Z,8390,Y
